Nom de la demande:Avignon2019_daily;;;;;;;;;
84007004;2019;5;10;3.8;0;63;12.8;18;25.8
84007004;2019;5;11;6.8;0.5;65;10.4;16.2;24.8
84007004;2019;5;12;0;0;49;11.5;15.2;18.9
84007004;2019;5;13;0;0;44;10.4;16;21.3
84007004;2019;5;14;0;0;39;11.1;16.8;22.5
84007004;2019;5;15;0;0;38;10.5;15.5;20.6
84007004;2019;5;16;3.2;0;53;5.7;15.1;23.4
84007004;2019;5;17;14.3;0.5;76;9.8;13.2;16.4
84007004;2019;5;18;8;0;74;9.9;15;21.5
84007004;2019;5;19;18.7;7;88;10.9;13.3;16.2
84007004;2019;5;20;9;0;69;11;17.2;23.5
84007004;2019;5;21;0;0;55;13.7;19.3;24.4
84007004;2019;5;22;0;0;44;15;20.8;26.8
84007004;2019;5;23;0.8;0;52;11.3;19.9;28
84007004;2019;5;24;6.8;0;73;11.2;18.1;25.9
84007004;2019;5;25;5.2;0;60;14.3;21;28.7
84007004;2019;5;26;0;0;45;17.1;21.7;27
84007004;2019;5;27;0;0;49;17.3;21.6;26.7
84007004;2019;5;28;0;0;48;16.6;19;24.4
84007004;2019;5;29;0;0;44;12.9;18.1;22.3
84007004;2019;5;30;0;0;40;15.5;21;26.1
84007004;2019;5;31;0;0;52;16.2;21.4;30.1
84007004;2019;6;1;5.1;0;63;10.8;20.3;28.2
84007004;2019;6;2;6.1;0;58;11.9;20.8;29.5
84007004;2019;6;3;0;0;60;11;20.5;30.4
84007004;2019;6;4;0.6;0;48;12.7;21.4;28.5
84007004;2019;6;5;0;0;47;12.9;22;31.4
84007004;2019;6;6;0;0;52;13.6;19;26.4
84007004;2019;6;7;0;0;49;12.9;20.5;28.1
84007004;2019;6;8;0;0;40;14.2;21;28.4
84007004;2019;6;9;0.4;0;56;15.5;20.4;27.5
84007004;2019;6;10;0.1;0;61;17.9;20.3;24.7
84007004;2019;6;11;15.7;14.5;80;14;14.9;17.1
84007004;2019;6;12;6.6;0;66;12.1;17.5;23.8
84007004;2019;6;13;2.8;0;62;9.4;19.1;28.2
84007004;2019;6;14;3;0;66;15;21.1;28.7
84007004;2019;6;15;4.4;0;73;18.6;21.1;26.3
84007004;2019;6;16;0;0;55;16.2;22;27.5
84007004;2019;6;17;3.3;0;54;18.4;24;32.5
84007004;2019;6;18;7.8;0;55;14.8;23.4;31.5
84007004;2019;6;19;4;9.5;48;15.9;23;29.2
84007004;2019;6;20;8.3;0;63;14.5;22.4;30.7
84007004;2019;6;21;12.7;0;68;17.6;22.9;28.7
84007004;2019;6;22;8.2;0;55;19.1;24.4;30.3
84007004;2019;6;23;10.2;0;62;16.9;24;32.8
84007004;2019;6;24;9.7;0;59;15.8;24.8;34.3
84007004;2019;6;25;7.7;0;58;16;26.3;36.4
84007004;2019;6;26;6.8;0;56;18.9;28.3;37.6
84007004;2019;6;27;4.8;0;53;20.6;29.5;39.4
84007004;2019;6;28;4.2;0;45;21.2;32.9;42.7
84007004;2019;6;29;2;0;50;25.9;31.2;38.8
84007004;2019;6;30;6.7;0;58;22.9;29.9;37.4
84007004;2019;7;1;6.7;0;55;21.7;28.4;35.2
84007004;2019;7;2;4.5;0;51;21.6;28.5;35.1
84007004;2019;7;3;0;0;46;21.4;28.5;36.5
84007004;2019;7;4;3.2;0;53;20.9;28.2;36.6
84007004;2019;7;5;7.9;0;60;21.3;28.1;36
84007004;2019;7;6;9.6;4;65;18.8;27.1;34.7
84007004;2019;7;7;6.7;0.5;65;21.3;27.2;35.3
84007004;2019;7;8;0;0;54;20.6;27.7;36.3
84007004;2019;7;9;9.9;4.5;73;21.7;22.9;26.7
84007004;2019;7;10;0;0;35;20.2;25.4;30.6
84007004;2019;7;11;0;0;37;18.1;26;32.6
84007004;2019;7;12;0;0;38;20.5;28.5;34.7
84007004;2019;7;13;0;0;37;22.8;26.8;31
84007004;2019;7;14;0;0;38;20.7;26.1;32.3
84007004;2019;7;15;0;0;46;19.3;23.6;27.9
84007004;2019;7;16;0;0;47;20.3;25.4;32.8
84007004;2019;7;17;0.7;0;51;16.5;25.5;34.4
84007004;2019;7;18;0;0;37;18.8;27.5;33.6
84007004;2019;7;19;0;0;40;22.2;26.6;34.4
84007004;2019;7;20;0.2;0;60;16.5;24.7;33
84007004;2019;7;21;0;0;57;19.1;26.3;35
84007004;2019;7;22;0;0;60;20.2;27.7;37.3
84007004;2019;7;23;0.3;0;59;21.4;28.6;35.9
84007004;2019;7;24;0;0;56;21.4;29.1;37.5
84007004;2019;7;25;0;0;58;22.3;28.5;36
84007004;2019;7;26;0;0;55;19.4;27.3;34.8
84007004;2019;7;27;9.9;9.5;76;20.1;22.3;27.8
84007004;2019;7;28;4.1;0;58;18;22.3;26.7
84007004;2019;7;29;0;0;45;18.8;24.5;32
84007004;2019;7;30;0;0;52;16;25.7;34.3
84007004;2019;7;31;0;0;42;20.4;24.8;30.2
84007004;2019;8;1;0;0;48;19.4;24.8;31.8
84007004;2019;8;2;0;0;45;17.2;26.2;32.6
84007004;2019;8;3;0;0;36;21.3;27.5;34
84007004;2019;8;4;0;0;40;17.9;27.4;37
84007004;2019;8;5;0;0;54;18.8;26.6;34.7
84007004;2019;8;6;0;0;52;18.8;26.5;34
84007004;2019;8;7;0;0;55;20.5;26.4;32.1
84007004;2019;8;8;0;0;52;21.8;27.7;35.9
84007004;2019;8;9;0;0;63;21.2;27.4;33.7
84007004;2019;8;10;0;0;56;23.2;28.4;34.9
84007004;2019;8;11;0;0;56;23.3;26.9;34.3
84007004;2019;8;12;1;0;51;18.4;23.1;28.2
84007004;2019;8;13;0;0;43;18.1;22.2;26.5
84007004;2019;8;14;0;0;36;18.1;23.5;29.9
84007004;2019;8;15;0;0;44;15.4;24.4;31.8
84007004;2019;8;16;0;0;44;19.4;24.5;32.6
84007004;2019;8;17;0;0;62;15.4;24.1;32.1
84007004;2019;8;18;0;0;66;19.3;25;32.4
84007004;2019;8;19;0.7;0;67;18.8;24.2;30.1
84007004;2019;8;20;0.1;0;65;19.4;20.1;22.3
84007004;2019;8;21;0;0;55;16.7;22.1;28.2
84007004;2019;8;22;0;0;52;19.8;24.6;31.9
84007004;2019;8;23;0;0;57;18.6;25.1;33.6
84007004;2019;8;24;0;0;61;17.3;24.9;33.1
84007004;2019;8;25;0;0;58;17;25.7;35.6
84007004;2019;8;26;0;0;59;17.7;25.5;34.5
84007004;2019;8;27;0;0;63;18.6;24.8;31.9
84007004;2019;8;28;0;0;64;18.6;24.5;31.7
84007004;2019;8;29;0;0;57;18.9;27.2;35.3
84007004;2019;8;30;0;0;53;20.6;27.5;36.1
84007004;2019;8;31;0;0;55;19.7;25.4;34.5
84007004;2019;9;1;0;0;62;18.1;24;30.1
84007004;2019;9;2;0;0;46;19.8;23.1;27.5
84007004;2019;9;3;0;0;40;18.5;23.9;30.5
84007004;2019;9;4;0;0;47;15.5;23.8;32.6
84007004;2019;9;5;0;0;42;18;21.7;24.1
84007004;2019;9;6;0;0;47;15.5;19.3;23.7
84007004;2019;9;7;0;0;38;16.8;20.9;26.4
84007004;2019;9;8;0;0;49;15.1;18.4;23.1
84007004;2019;9;9;0;2;53;12.3;17.6;23.9
84007004;2019;9;10;18.9;9;81;13.4;15.5;18
84007004;2019;9;11;7.1;0;51;15;21.8;28.9
84007004;2019;9;12;0;0;42;16.1;23.8;31.9
84007004;2019;9;13;0;0;55;14.5;22.4;32.9
84007004;2019;9;14;0.1;0;62;14.4;22;30.4
84007004;2019;9;15;0;0;63;15.4;22.8;32
84007004;2019;9;16;0;0;63;15.6;23.3;33.5
84007004;2019;9;17;0;0;56;15.4;24.6;35.2
84007004;2019;9;18;0.1;0;46;19.7;24.3;31.5
84007004;2019;9;19;0;0;43;17.5;21.6;27.4
84007004;2019;9;20;0;0;52;15.3;21.4;29
84007004;2019;9;21;6.4;2;66;14.9;19.7;23.7
84007004;2019;9;22;13.8;11.5;83;17.3;19.7;25.6
84007004;2019;9;23;2.7;0;61;14.5;19.2;24.2
84007004;2019;9;24;0;0.5;64;14.4;18.9;24.4
84007004;2019;9;25;4.7;0;65;16.3;20.1;26.6
84007004;2019;9;26;0;0;63;14.8;21.8;28.9
84007004;2019;9;27;6.4;0;69;13.7;21.1;29.4
84007004;2019;9;28;2.2;0;58;16.3;20.7;27.6
84007004;2019;9;29;8.3;0;73;10.2;19.6;27.7
84007004;2019;9;30;7.6;0;64;14.7;21.3;28.4
